url,seo_nombre,estado,kb_orig,kb_opt,reduccion_%
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_185033452-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-004.jpg,OK,190.6,191.9,-0.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_190054692-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-005.jpg,OK,141.8,143.0,-0.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_194019884.NIGHT-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-006.jpg,OK,151.8,153.6,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_194859846-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-007.jpg,OK,141.4,143.0,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_194912894-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-008.jpg,OK,167.8,169.6,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_194917922-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-009.jpg,OK,123.7,124.9,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_195341481-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-010.jpg,OK,116.5,117.4,-0.8
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230606_195648235-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-1-011.jpg,OK,51.1,52.1,-2.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230613_190030580-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-2-001.jpg,OK,100.8,102.9,-2.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230613_191212942-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-2-002.jpg,OK,123.0,124.5,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230613_195358529-Large.jpeg,clase-teatro-barcelona-junio-2023-sesion-2-003.jpg,OK,166.4,167.4,-0.6
